"locusTag","RSlocusTag","feature","class","assembly","assembly_unit","seq_type","chromosome","genomic_accession","start","end","strand","product_accession","non.redundant_refseq","related_accession","name","symbol","GeneID","feature_interval_length","product_length","attributes","gene_name"
"Bcen2424_0018","BCEN2424_RS00100","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",21686,22201,"+","WP_011544482.1","WP_011544482.1",NA,"DUF2628 domain-containing protein","",NA,516,171,"old_locus_tag=Bcen2424_0018","Bcen2424_0018--DUF2628 domain-containing protein"
"Bcen2424_0019","BCEN2424_RS00105","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",22304,23185,"-","WP_011544481.1","WP_011544481.1",NA,"sigma-70 family RNA polymerase sigma factor","",NA,882,293,"old_locus_tag=Bcen2424_0019","Bcen2424_0019--sigma-70 family RNA polymerase sigma factor"
"Bcen2424_0020","BCEN2424_RS00110","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",23185,23661,"-","WP_011544480.1","WP_011544480.1",NA,"carboxymuconolactone decarboxylase family protein","",NA,477,158,"old_locus_tag=Bcen2424_0020","Bcen2424_0020--carboxymuconolactone decarboxylase family protein"
"Bcen2424_0022","BCEN2424_RS00115","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",24242,25468,"+","WP_011694009.1","WP_011694009.1",NA,"ergothioneine biosynthesis protein EgtB","",NA,1227,408,"old_locus_tag=Bcen2424_0022","Bcen2424_0022--ergothioneine biosynthesis protein EgtB"
"Bcen2424_0023","BCEN2424_RS00120","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",25452,26465,"+","WP_011544477.1","WP_011544477.1",NA,"L-histidine N(alpha)-methyltransferase","egtD",NA,1014,337,"old_locus_tag=Bcen2424_0023","Bcen2424_0023-egtD-L-histidine N(alpha)-methyltransferase"
"Bcen2424_0024","BCEN2424_RS00125","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",26759,27061,"+","WP_006477218.1","WP_006477218.1",NA,"hypothetical protein","",NA,303,100,"old_locus_tag=Bcen2424_0024","Bcen2424_0024--hypothetical protein"
"Bcen2424_0025","BCEN2424_RS00130","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",27114,27326,"+","WP_011544476.1","WP_011544476.1",NA,"hypothetical protein","",NA,213,70,"old_locus_tag=Bcen2424_0025","Bcen2424_0025--hypothetical protein"
"Bcen2424_0026","BCEN2424_RS00135","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",27514,27870,"+","WP_011544475.1","WP_011544475.1",NA,"hypothetical protein","",NA,357,118,"old_locus_tag=Bcen2424_0026","Bcen2424_0026--hypothetical protein"
"Bcen2424_0027","BCEN2424_RS00140","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",28136,31162,"-","WP_011544474.1","WP_011544474.1",NA,"DEAD/DEAH box helicase family protein","",NA,3027,1008,"old_locus_tag=Bcen2424_0027","Bcen2424_0027--DEAD/DEAH box helicase family protein"
"Bcen2424_0028","BCEN2424_RS00145","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",31162,33180,"-","WP_011544473.1","WP_011544473.1",NA,"site-specific DNA-methyltransferase","",NA,2019,672,"old_locus_tag=Bcen2424_0028","Bcen2424_0028--site-specific DNA-methyltransferase"
"Bcen2424_0029","BCEN2424_RS00150","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",33540,34667,"-","WP_011694010.1","WP_011694010.1",NA,"porin","",NA,1128,375,"old_locus_tag=Bcen2424_0029","Bcen2424_0029--porin"
"Bcen2424_0030","BCEN2424_RS00155","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",34950,35627,"-","WP_011544471.1","WP_011544471.1",NA,"response regulator","",NA,678,225,"old_locus_tag=Bcen2424_0030","Bcen2424_0030--response regulator"
"Bcen2424_0031","BCEN2424_RS00160","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",35641,37008,"-","WP_011544470.1","WP_011544470.1",NA,"sensor histidine kinase","",NA,1368,455,"old_locus_tag=Bcen2424_0031","Bcen2424_0031--sensor histidine kinase"
"Bcen2424_0032","BCEN2424_RS00165","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",37097,37954,"-","WP_011544469.1","WP_011544469.1",NA,"ABC transporter permease","",NA,858,285,"old_locus_tag=Bcen2424_0032","Bcen2424_0032--ABC transporter permease"
"Bcen2424_0033","BCEN2424_RS00170","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",38014,38811,"-","WP_006477226.1","WP_006477226.1",NA,"ABC transporter ATP-binding protein","",NA,798,265,"old_locus_tag=Bcen2424_0033","Bcen2424_0033--ABC transporter ATP-binding protein"
"Bcen2424_0034","BCEN2424_RS00175","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",38933,39937,"-","WP_011544468.1","WP_011544468.1",NA,"ABC transporter substrate-binding protein","",NA,1005,334,"old_locus_tag=Bcen2424_0034","Bcen2424_0034--ABC transporter substrate-binding protein"
"Bcen2424_0035","BCEN2424_RS00180","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",40123,40905,"-","WP_006477228.1","WP_006477228.1",NA,"flagellar biosynthetic protein FliR","fliR",NA,783,260,"old_locus_tag=Bcen2424_0035","Bcen2424_0035-fliR-flagellar biosynthetic protein FliR"
"Bcen2424_0036","BCEN2424_RS00185","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",40930,41202,"-","WP_006401718.1","WP_006401718.1",NA,"flagellar biosynthesis protein FliQ","fliQ",NA,273,90,"old_locus_tag=Bcen2424_0036","Bcen2424_0036-fliQ-flagellar biosynthesis protein FliQ"
"Bcen2424_0037","BCEN2424_RS00190","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",41220,41981,"-","WP_006477229.1","WP_006477229.1",NA,"flagellar type III secretion system pore protein FliP","fliP",NA,762,253,"old_locus_tag=Bcen2424_0037","Bcen2424_0037-fliP-flagellar type III secretion system pore protein FliP"
"Bcen2424_0038","BCEN2424_RS00195","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",42018,42599,"-","WP_011544467.1","WP_011544467.1",NA,"flagellar biosynthetic protein FliO","fliO",NA,582,193,"old_locus_tag=Bcen2424_0038","Bcen2424_0038-fliO-flagellar biosynthetic protein FliO"
"Bcen2424_0039","BCEN2424_RS00200","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",42596,43084,"-","WP_011544466.1","WP_011544466.1",NA,"flagellar motor switch protein FliN","fliN",NA,489,162,"old_locus_tag=Bcen2424_0039","Bcen2424_0039-fliN-flagellar motor switch protein FliN"
"Bcen2424_0040","BCEN2424_RS00205","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",43077,44075,"-","WP_006477232.1","WP_006477232.1",NA,"flagellar motor switch protein FliM","fliM",NA,999,332,"old_locus_tag=Bcen2424_0040","Bcen2424_0040-fliM-flagellar motor switch protein FliM"
"Bcen2424_0041","BCEN2424_RS00210","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",44098,44631,"-","WP_006477233.1","WP_006477233.1",NA,"flagellar basal body-associated protein FliL","fliL",NA,534,177,"old_locus_tag=Bcen2424_0041","Bcen2424_0041-fliL-flagellar basal body-associated protein FliL"
"Bcen2424_0042","BCEN2424_RS00215","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",44844,45566,"-","WP_011544465.1","WP_011544465.1",NA,"LrgB family protein","",NA,723,240,"old_locus_tag=Bcen2424_0042","Bcen2424_0042--LrgB family protein"
"Bcen2424_0043","BCEN2424_RS00220","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",45580,46053,"-","WP_011544464.1","WP_011544464.1",NA,"CidA/LrgA family protein","",NA,474,157,"old_locus_tag=Bcen2424_0043","Bcen2424_0043--CidA/LrgA family protein"
"Bcen2424_0044","BCEN2424_RS00225","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",46195,47121,"+","WP_011544463.1","WP_011544463.1",NA,"LysR family transcriptional regulator","",NA,927,308,"old_locus_tag=Bcen2424_0044","Bcen2424_0044--LysR family transcriptional regulator"
"Bcen2424_0045","BCEN2424_RS00230","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",47146,47532,"-","WP_011544462.1","WP_011544462.1",NA,"type II toxin-antitoxin system VapC family toxin","",NA,387,128,"old_locus_tag=Bcen2424_0045","Bcen2424_0045--type II toxin-antitoxin system VapC family toxin"
"Bcen2424_0046","BCEN2424_RS00235","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",47529,47777,"-","WP_006477238.1","WP_006477238.1",NA,"type II toxin-antitoxin system prevent-host-death family antitoxin","",NA,249,82,"old_locus_tag=Bcen2424_0046","Bcen2424_0046--type II toxin-antitoxin system prevent-host-death family antitoxin"
"Bcen2424_0047","BCEN2424_RS00240","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",47883,49445,"-","WP_011544461.1","WP_011544461.1",NA,"DHA2 family efflux MFS transporter permease subunit","",NA,1563,520,"old_locus_tag=Bcen2424_0047","Bcen2424_0047--DHA2 family efflux MFS transporter permease subunit"
"Bcen2424_0048","BCEN2424_RS00245","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",49622,50110,"-","WP_011544460.1","WP_011544460.1",NA,"MarR family transcriptional regulator","",NA,489,162,"old_locus_tag=Bcen2424_0048","Bcen2424_0048--MarR family transcriptional regulator"
"Bcen2424_0049","BCEN2424_RS00250","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",50276,50572,"+","WP_023477386.1","WP_023477386.1",NA,"multidrug ABC transporter ATPase/permease","",NA,297,98,"old_locus_tag=Bcen2424_0049","Bcen2424_0049--multidrug ABC transporter ATPase/permease"
"Bcen2424_0050","BCEN2424_RS00255","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",50854,52425,"+","WP_011544458.1","WP_011544458.1",NA,"efflux transporter outer membrane subunit","",NA,1572,523,"old_locus_tag=Bcen2424_0050","Bcen2424_0050--efflux transporter outer membrane subunit"
"Bcen2424_0051","BCEN2424_RS00260","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",52457,53245,"-","WP_041489149.1","WP_041489149.1",NA,"type II secretion system protein N","",NA,789,262,"old_locus_tag=Bcen2424_0051","Bcen2424_0051--type II secretion system protein N"
"Bcen2424_0052","BCEN2424_RS00265","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",53282,53788,"-","WP_011544456.1","WP_011544456.1",NA,"type II secretion system protein M","",NA,507,168,"old_locus_tag=Bcen2424_0052","Bcen2424_0052--type II secretion system protein M"
"Bcen2424_0053","BCEN2424_RS00270","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",53785,55158,"-","WP_011544455.1","WP_011544455.1",NA,"type II secretion system protein GspL","gspL",NA,1374,457,"old_locus_tag=Bcen2424_0053","Bcen2424_0053-gspL-type II secretion system protein GspL"
"Bcen2424_0054","BCEN2424_RS00275","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",55185,56294,"-","WP_011544454.1","WP_011544454.1",NA,"type II secretion system minor pseudopilin GspK","gspK",NA,1110,369,"old_locus_tag=Bcen2424_0054","Bcen2424_0054-gspK-type II secretion system minor pseudopilin GspK"
"Bcen2424_0055","BCEN2424_RS00280","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",56297,56965,"-","WP_011544453.1","WP_011544453.1",NA,"prepilin-type N-terminal cleavage/methylation domain-containing protein","",NA,669,222,"old_locus_tag=Bcen2424_0055","Bcen2424_0055--prepilin-type N-terminal cleavage/methylation domain-containing protein"
"Bcen2424_0056","BCEN2424_RS00285","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",56973,57374,"-","WP_011544452.1","WP_011544452.1",NA,"type II secretion system minor pseudopilin GspI","gspI",NA,402,133,"old_locus_tag=Bcen2424_0056","Bcen2424_0056-gspI-type II secretion system minor pseudopilin GspI"
"Bcen2424_0057","BCEN2424_RS00290","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",57377,57946,"-","WP_011544451.1","WP_011544451.1",NA,"prepilin-type N-terminal cleavage/methylation domain-containing protein","",NA,570,189,"old_locus_tag=Bcen2424_0057","Bcen2424_0057--prepilin-type N-terminal cleavage/methylation domain-containing protein"
"Bcen2424_0058","BCEN2424_RS00295","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",57986,58438,"-","WP_006477246.1","WP_006477246.1",NA,"type II secretion system major pseudopilin GspG","gspG",NA,453,150,"old_locus_tag=Bcen2424_0058","Bcen2424_0058-gspG-type II secretion system major pseudopilin GspG"
"Bcen2424_0059","BCEN2424_RS00300","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",58614,59024,"+","WP_011544450.1","WP_011544450.1",NA,"general secretion pathway protein GspC","",NA,411,136,"old_locus_tag=Bcen2424_0059","Bcen2424_0059--general secretion pathway protein GspC"
"Bcen2424_0060","BCEN2424_RS00305","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",59062,60279,"-","WP_006477248.1","WP_006477248.1",NA,"type II secretion system inner membrane protein GspF","gspF",NA,1218,405,"old_locus_tag=Bcen2424_0060","Bcen2424_0060-gspF-type II secretion system inner membrane protein GspF"
"Bcen2424_0061","BCEN2424_RS00310","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",60284,61783,"-","WP_006490004.1","WP_006490004.1",NA,"type II secretion system ATPase GspE","gspE",NA,1500,499,"old_locus_tag=Bcen2424_0061","Bcen2424_0061-gspE-type II secretion system ATPase GspE"
"Bcen2424_0062","BCEN2424_RS00315","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",61780,64104,"-","WP_011544449.1","WP_011544449.1",NA,"type II secretion system secretin GspD","gspD",NA,2325,774,"old_locus_tag=Bcen2424_0062","Bcen2424_0062-gspD-type II secretion system secretin GspD"
"Bcen2424_0063","BCEN2424_RS00320","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",64473,64967,"+","WP_011544448.1","WP_011544448.1",NA,"lytic transglycosylase domain-containing protein","",NA,495,164,"old_locus_tag=Bcen2424_0063","Bcen2424_0063--lytic transglycosylase domain-containing protein"
"Bcen2424_0064","BCEN2424_RS00325","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",65121,66434,"+","WP_011694012.1","WP_011694012.1",NA,"GTP-binding protein","",NA,1314,437,"old_locus_tag=Bcen2424_0064","Bcen2424_0064--GTP-binding protein"
"Bcen2424_0065","BCEN2424_RS00330","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",66563,66841,"-","WP_006401505.1","WP_006401505.1",NA,"HU family DNA-binding protein","",NA,279,92,"old_locus_tag=Bcen2424_0065","Bcen2424_0065--HU family DNA-binding protein"
"Bcen2424_0066","BCEN2424_RS00335","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",67230,69161,"+","WP_011694013.1","WP_011694013.1",NA,"bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC","mnmC",NA,1932,643,"old_locus_tag=Bcen2424_0066","Bcen2424_0066-mnmC-bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC"
"Bcen2424_0068","BCEN2424_RS00340","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",69833,71047,"+","WP_011544444.1","WP_011544444.1",NA,"sodium/hydrogen exchanger","",NA,1215,404,"old_locus_tag=Bcen2424_0068","Bcen2424_0068--sodium/hydrogen exchanger"
"Bcen2424_0069","BCEN2424_RS00345","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",71062,72177,"+","WP_006490006.1","WP_006490006.1",NA,"glutamate--cysteine ligase","",NA,1116,371,"old_locus_tag=Bcen2424_0069","Bcen2424_0069--glutamate--cysteine ligase"
"Bcen2424_0070","BCEN2424_RS00350","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",72682,73320,"+","WP_006477254.1","WP_006477254.1",NA,"winged helix-turn-helix transcriptional regulator","",NA,639,212,"old_locus_tag=Bcen2424_0070","Bcen2424_0070--winged helix-turn-helix transcriptional regulator"
"Bcen2424_0071","BCEN2424_RS00355","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",73349,74059,"+","WP_011694014.1","WP_011694014.1",NA,"glutamine amidotransferase","",NA,711,236,"old_locus_tag=Bcen2424_0071","Bcen2424_0071--glutamine amidotransferase"
"Bcen2424_0072","BCEN2424_RS00360","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",74288,75400,"+","WP_011546822.1","WP_011546822.1",NA,"NADH:flavin oxidoreductase/NADH oxidase","",NA,1113,370,"old_locus_tag=Bcen2424_0072","Bcen2424_0072--NADH:flavin oxidoreductase/NADH oxidase"
"Bcen2424_0073","BCEN2424_RS00365","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",75578,76108,"+","WP_011546821.1","WP_011546821.1",NA,"SET domain-containing protein-lysine N-methyltransferase","",NA,531,176,"old_locus_tag=Bcen2424_0073","Bcen2424_0073--SET domain-containing protein-lysine N-methyltransferase"
"Bcen2424_0074","BCEN2424_RS00370","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",76270,77754,"-","WP_011546820.1","WP_011546820.1",NA,"sensor histidine kinase","",NA,1485,494,"old_locus_tag=Bcen2424_0074","Bcen2424_0074--sensor histidine kinase"
"Bcen2424_0075","BCEN2424_RS00375","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",77876,78568,"-","WP_006401494.1","WP_006401494.1",NA,"response regulator transcription factor","",NA,693,230,"old_locus_tag=Bcen2424_0075","Bcen2424_0075--response regulator transcription factor"
"Bcen2424_0076","BCEN2424_RS00380","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",78691,78921,"+","WP_006401493.1","WP_006401493.1",NA,"DUF3717 domain-containing protein","",NA,231,76,"old_locus_tag=Bcen2424_0076","Bcen2424_0076--DUF3717 domain-containing protein"
"Bcen2424_0077","BCEN2424_RS00385","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",79021,79329,"-","WP_011694015.1","WP_011694015.1",NA,"4a-hydroxytetrahydrobiopterin dehydratase","",NA,309,102,"old_locus_tag=Bcen2424_0077","Bcen2424_0077--4a-hydroxytetrahydrobiopterin dehydratase"
"Bcen2424_0078","BCEN2424_RS00390","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",79461,80423,"-","WP_011546817.1","WP_011546817.1",NA,"phenylalanine 4-monooxygenase","",NA,963,320,"old_locus_tag=Bcen2424_0078","Bcen2424_0078--phenylalanine 4-monooxygenase"
"Bcen2424_0079","BCEN2424_RS00395","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",80493,80978,"+","WP_006408082.1","WP_006408082.1",NA,"Lrp/AsnC family transcriptional regulator","",NA,486,161,"old_locus_tag=Bcen2424_0079","Bcen2424_0079--Lrp/AsnC family transcriptional regulator"
"Bcen2424_0080","BCEN2424_RS00400","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",81045,81578,"-","WP_011546816.1","WP_011546816.1",NA,"class IV adenylate cyclase","",NA,534,177,"old_locus_tag=Bcen2424_0080","Bcen2424_0080--class IV adenylate cyclase"
"Bcen2424_0081","BCEN2424_RS00405","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",81787,82686,"-","WP_041489277.1","WP_041489277.1",NA,"LysR family transcriptional regulator","",NA,900,299,"old_locus_tag=Bcen2424_0081","Bcen2424_0081--LysR family transcriptional regulator"
"Bcen2424_0082","BCEN2424_RS00410","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",82916,84652,"+","WP_011546814.1","WP_011546814.1",NA,"choline dehydrogenase","",NA,1737,578,"old_locus_tag=Bcen2424_0082","Bcen2424_0082--choline dehydrogenase"
"Bcen2424_0083","BCEN2424_RS00415","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",85086,85865,"+","WP_006477266.1","WP_006477266.1",NA,"ABC transporter ATP-binding protein","",NA,780,259,"old_locus_tag=Bcen2424_0083","Bcen2424_0083--ABC transporter ATP-binding protein"
"Bcen2424_0084","BCEN2424_RS00420","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",85862,86617,"+","WP_006477267.1","WP_006477267.1",NA,"ABC transporter ATP-binding protein","",NA,756,251,"old_locus_tag=Bcen2424_0084","Bcen2424_0084--ABC transporter ATP-binding protein"
"Bcen2424_0085","BCEN2424_RS00425","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",86695,87894,"+","WP_011546813.1","WP_011546813.1",NA,"ABC transporter substrate-binding protein","",NA,1200,399,"old_locus_tag=Bcen2424_0085","Bcen2424_0085--ABC transporter substrate-binding protein"
