# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	40930	41202	-					fliQ		BCEN2424_RS00185	273		old_locus_tag=Bcen2424_0036
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	40930	41202	-	WP_006401718.1	WP_006401718.1		flagellar biosynthesis protein FliQ	fliQ		BCEN2424_RS00185	273	90	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	41220	41981	-					fliP		BCEN2424_RS00190	762		old_locus_tag=Bcen2424_0037
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	41220	41981	-	WP_006477229.1	WP_006477229.1		flagellar type III secretion system pore protein FliP	fliP		BCEN2424_RS00190	762	253	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	42018	42599	-					fliO		BCEN2424_RS00195	582		old_locus_tag=Bcen2424_0038
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	42018	42599	-	WP_011544467.1	WP_011544467.1		flagellar biosynthetic protein FliO	fliO		BCEN2424_RS00195	582	193	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	42596	43084	-					fliN		BCEN2424_RS00200	489		old_locus_tag=Bcen2424_0039
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	42596	43084	-	WP_011544466.1	WP_011544466.1		flagellar motor switch protein FliN	fliN		BCEN2424_RS00200	489	162	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	43077	44075	-					fliM		BCEN2424_RS00205	999		old_locus_tag=Bcen2424_0040
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	43077	44075	-	WP_006477232.1	WP_006477232.1		flagellar motor switch protein FliM	fliM		BCEN2424_RS00205	999	332	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	44098	44631	-					fliL		BCEN2424_RS00210	534		old_locus_tag=Bcen2424_0041
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	44098	44631	-	WP_006477233.1	WP_006477233.1		flagellar basal body-associated protein FliL	fliL		BCEN2424_RS00210	534	177	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	44844	45566	-							BCEN2424_RS00215	723		old_locus_tag=Bcen2424_0042
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	44844	45566	-	WP_011544465.1	WP_011544465.1		LrgB family protein			BCEN2424_RS00215	723	240	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	45580	46053	-							BCEN2424_RS00220	474		old_locus_tag=Bcen2424_0043
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	45580	46053	-	WP_011544464.1	WP_011544464.1		CidA/LrgA family protein			BCEN2424_RS00220	474	157	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	46195	47121	+							BCEN2424_RS00225	927		old_locus_tag=Bcen2424_0044
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	46195	47121	+	WP_011544463.1	WP_011544463.1		LysR family transcriptional regulator			BCEN2424_RS00225	927	308	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	47146	47532	-							BCEN2424_RS00230	387		old_locus_tag=Bcen2424_0045
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	47146	47532	-	WP_011544462.1	WP_011544462.1		type II toxin-antitoxin system VapC family toxin			BCEN2424_RS00230	387	128	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	47529	47777	-							BCEN2424_RS00235	249		old_locus_tag=Bcen2424_0046
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	47529	47777	-	WP_006477238.1	WP_006477238.1		type II toxin-antitoxin system prevent-host-death family antitoxin			BCEN2424_RS00235	249	82	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	47883	49445	-							BCEN2424_RS00240	1563		old_locus_tag=Bcen2424_0047
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	47883	49445	-	WP_011544461.1	WP_011544461.1		DHA2 family efflux MFS transporter permease subunit			BCEN2424_RS00240	1563	520	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	49622	50110	-							BCEN2424_RS00245	489		old_locus_tag=Bcen2424_0048
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	49622	50110	-	WP_011544460.1	WP_011544460.1		MarR family transcriptional regulator			BCEN2424_RS00245	489	162	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	50276	50572	+							BCEN2424_RS00250	297		old_locus_tag=Bcen2424_0049
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	50276	50572	+	WP_023477386.1	WP_023477386.1		multidrug ABC transporter ATPase/permease			BCEN2424_RS00250	297	98	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	50854	52425	+							BCEN2424_RS00255	1572		old_locus_tag=Bcen2424_0050
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	50854	52425	+	WP_011544458.1	WP_011544458.1		efflux transporter outer membrane subunit			BCEN2424_RS00255	1572	523	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	52457	53245	-							BCEN2424_RS00260	789		old_locus_tag=Bcen2424_0051
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	52457	53245	-	WP_041489149.1	WP_041489149.1		type II secretion system protein N			BCEN2424_RS00260	789	262	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	53282	53788	-							BCEN2424_RS00265	507		old_locus_tag=Bcen2424_0052
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	53282	53788	-	WP_011544456.1	WP_011544456.1		type II secretion system protein M			BCEN2424_RS00265	507	168	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	53785	55158	-					gspL		BCEN2424_RS00270	1374		old_locus_tag=Bcen2424_0053
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	53785	55158	-	WP_011544455.1	WP_011544455.1		type II secretion system protein GspL	gspL		BCEN2424_RS00270	1374	457	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	55185	56294	-					gspK		BCEN2424_RS00275	1110		old_locus_tag=Bcen2424_0054
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	55185	56294	-	WP_011544454.1	WP_011544454.1		type II secretion system minor pseudopilin GspK	gspK		BCEN2424_RS00275	1110	369	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	56297	56965	-							BCEN2424_RS00280	669		old_locus_tag=Bcen2424_0055
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	56297	56965	-	WP_011544453.1	WP_011544453.1		prepilin-type N-terminal cleavage/methylation domain-containing protein			BCEN2424_RS00280	669	222	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	56973	57374	-					gspI		BCEN2424_RS00285	402		old_locus_tag=Bcen2424_0056
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	56973	57374	-	WP_011544452.1	WP_011544452.1		type II secretion system minor pseudopilin GspI	gspI		BCEN2424_RS00285	402	133	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	57377	57946	-							BCEN2424_RS00290	570		old_locus_tag=Bcen2424_0057
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	57377	57946	-	WP_011544451.1	WP_011544451.1		prepilin-type N-terminal cleavage/methylation domain-containing protein			BCEN2424_RS00290	570	189	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	57986	58438	-					gspG		BCEN2424_RS00295	453		old_locus_tag=Bcen2424_0058
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	57986	58438	-	WP_006477246.1	WP_006477246.1		type II secretion system major pseudopilin GspG	gspG		BCEN2424_RS00295	453	150	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	58614	59024	+							BCEN2424_RS00300	411		old_locus_tag=Bcen2424_0059
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	58614	59024	+	WP_011544450.1	WP_011544450.1		general secretion pathway protein GspC			BCEN2424_RS00300	411	136	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	59062	60279	-					gspF		BCEN2424_RS00305	1218		old_locus_tag=Bcen2424_0060
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	59062	60279	-	WP_006477248.1	WP_006477248.1		type II secretion system inner membrane protein GspF	gspF		BCEN2424_RS00305	1218	405	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	60284	61783	-					gspE		BCEN2424_RS00310	1500		old_locus_tag=Bcen2424_0061
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	60284	61783	-	WP_006490004.1	WP_006490004.1		type II secretion system ATPase GspE	gspE		BCEN2424_RS00310	1500	499	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	61780	64104	-					gspD		BCEN2424_RS00315	2325		old_locus_tag=Bcen2424_0062
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	61780	64104	-	WP_011544449.1	WP_011544449.1		type II secretion system secretin GspD	gspD		BCEN2424_RS00315	2325	774	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	64473	64967	+							BCEN2424_RS00320	495		old_locus_tag=Bcen2424_0063
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	64473	64967	+	WP_011544448.1	WP_011544448.1		lytic transglycosylase domain-containing protein			BCEN2424_RS00320	495	164	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	65121	66434	+							BCEN2424_RS00325	1314		old_locus_tag=Bcen2424_0064
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	65121	66434	+	WP_011694012.1	WP_011694012.1		GTP-binding protein			BCEN2424_RS00325	1314	437	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	66563	66841	-							BCEN2424_RS00330	279		old_locus_tag=Bcen2424_0065
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	66563	66841	-	WP_006401505.1	WP_006401505.1		HU family DNA-binding protein			BCEN2424_RS00330	279	92	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	67230	69161	+					mnmC		BCEN2424_RS00335	1932		old_locus_tag=Bcen2424_0066
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	67230	69161	+	WP_011694013.1	WP_011694013.1		bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC	mnmC		BCEN2424_RS00335	1932	643	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	69833	71047	+							BCEN2424_RS00340	1215		old_locus_tag=Bcen2424_0068
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	69833	71047	+	WP_011544444.1	WP_011544444.1		sodium/hydrogen exchanger			BCEN2424_RS00340	1215	404	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	71062	72177	+							BCEN2424_RS00345	1116		old_locus_tag=Bcen2424_0069
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	71062	72177	+	WP_006490006.1	WP_006490006.1		glutamate--cysteine ligase			BCEN2424_RS00345	1116	371	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	72682	73320	+							BCEN2424_RS00350	639		old_locus_tag=Bcen2424_0070
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	72682	73320	+	WP_006477254.1	WP_006477254.1		winged helix-turn-helix transcriptional regulator			BCEN2424_RS00350	639	212	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	73349	74059	+							BCEN2424_RS00355	711		old_locus_tag=Bcen2424_0071
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	73349	74059	+	WP_011694014.1	WP_011694014.1		glutamine amidotransferase			BCEN2424_RS00355	711	236	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	74288	75400	+							BCEN2424_RS00360	1113		old_locus_tag=Bcen2424_0072
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	74288	75400	+	WP_011546822.1	WP_011546822.1		NADH:flavin oxidoreductase/NADH oxidase			BCEN2424_RS00360	1113	370	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	75578	76108	+							BCEN2424_RS00365	531		old_locus_tag=Bcen2424_0073
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	75578	76108	+	WP_011546821.1	WP_011546821.1		SET domain-containing protein-lysine N-methyltransferase			BCEN2424_RS00365	531	176	
