# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	24242	25468	+							Bcen2424_0022	1227		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	24242	25468	+	ABK06776.1			protein of unknown function DUF323			Bcen2424_0022	1227	408	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	25452	26465	+							Bcen2424_0023	1014		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	25452	26465	+	ABK06777.1			conserved hypothetical protein			Bcen2424_0023	1014	337	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	26759	27061	+							Bcen2424_0024	303		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	26759	27061	+	ABK06778.1			conserved hypothetical protein			Bcen2424_0024	303	100	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	27114	27326	+							Bcen2424_0025	213		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	27114	27326	+	ABK06779.1			conserved hypothetical protein			Bcen2424_0025	213	70	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	27514	27870	+							Bcen2424_0026	357		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	27514	27870	+	ABK06780.1			conserved hypothetical protein			Bcen2424_0026	357	118	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	28136	31162	-							Bcen2424_0027	3027		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	28136	31162	-	ABK06781.1			type III restriction enzyme, res subunit			Bcen2424_0027	3027	1008	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	31162	33180	-							Bcen2424_0028	2019		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	31162	33180	-	ABK06782.1			Site-specific DNA-methyltransferase (adenine-specific)			Bcen2424_0028	2019	672	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	33540	34667	-							Bcen2424_0029	1128		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	33540	34667	-	ABK06783.1			outer membrane protein (porin)-like protein			Bcen2424_0029	1128	375	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	34950	35627	-							Bcen2424_0030	678		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	34950	35627	-	ABK06784.1			two component transcriptional regulator, winged helix family			Bcen2424_0030	678	225	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	35641	37008	-							Bcen2424_0031	1368		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	35641	37008	-	ABK06785.1			periplasmic sensor signal transduction histidine kinase			Bcen2424_0031	1368	455	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	37097	37954	-							Bcen2424_0032	858		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	37097	37954	-	ABK06786.1			binding-protein-dependent transport systems inner membrane component			Bcen2424_0032	858	285	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	38014	38811	-							Bcen2424_0033	798		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	38014	38811	-	ABK06787.1			ABC transporter related protein			Bcen2424_0033	798	265	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	38933	39937	-							Bcen2424_0034	1005		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	38933	39937	-	ABK06788.1			ABC nitrate/sulfonate/bicarbonate transporter, periplasmic ligand binding protein			Bcen2424_0034	1005	334	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	40123	40905	-							Bcen2424_0035	783		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	40123	40905	-	ABK06789.1			flagellar biosynthetic protein FliR			Bcen2424_0035	783	260	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	40930	41202	-							Bcen2424_0036	273		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	40930	41202	-	ABK06790.1			flagellar biosynthetic protein FliQ			Bcen2424_0036	273	90	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	41220	41981	-							Bcen2424_0037	762		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	41220	41981	-	ABK06791.1			flagellar biosynthetic protein FliP			Bcen2424_0037	762	253	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	42018	42599	-							Bcen2424_0038	582		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	42018	42599	-	ABK06792.1			flagellar biosynthesis protein, FliO			Bcen2424_0038	582	193	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	42596	43084	-							Bcen2424_0039	489		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	42596	43084	-	ABK06793.1			flagellar motor switch protein FliN			Bcen2424_0039	489	162	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	43077	44075	-							Bcen2424_0040	999		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	43077	44075	-	ABK06794.1			flagellar motor switch protein FliM			Bcen2424_0040	999	332	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	44098	44631	-							Bcen2424_0041	534		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	44098	44631	-	ABK06795.1			flagellar basal body-associated protein FliL			Bcen2424_0041	534	177	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	44844	45566	-							Bcen2424_0042	723		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	44844	45566	-	ABK06796.1			LrgB family protein			Bcen2424_0042	723	240	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	45580	46053	-							Bcen2424_0043	474		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	45580	46053	-	ABK06797.1			LrgA family protein			Bcen2424_0043	474	157	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	46195	47121	+							Bcen2424_0044	927		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	46195	47121	+	ABK06798.1			transcriptional regulator, LysR family			Bcen2424_0044	927	308	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	47146	47532	-							Bcen2424_0045	387		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	47146	47532	-	ABK06799.1			PilT protein domain protein			Bcen2424_0045	387	128	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	47529	47777	-							Bcen2424_0046	249		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	47529	47777	-	ABK06800.1			prevent-host-death family protein			Bcen2424_0046	249	82	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	47883	49445	-							Bcen2424_0047	1563		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	47883	49445	-	ABK06801.1			drug resistance transporter, EmrB/QacA subfamily			Bcen2424_0047	1563	520	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	49622	50110	-							Bcen2424_0048	489		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	49622	50110	-	ABK06802.1			transcriptional regulator, MarR family			Bcen2424_0048	489	162	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	50285	50572	+							Bcen2424_0049	288		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	50285	50572	+	ABK06803.1			conserved hypothetical protein			Bcen2424_0049	288	95	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	50854	52425	+							Bcen2424_0050	1572		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	50854	52425	+	ABK06804.1			RND efflux system, outer membrane lipoprotein, NodT family			Bcen2424_0050	1572	523	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	52457	53281	-							Bcen2424_0051	825		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	52457	53281	-	ABK06805.1			conserved hypothetical protein			Bcen2424_0051	825	274	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	53282	53788	-							Bcen2424_0052	507		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	53282	53788	-	ABK06806.1			General secretion pathway M protein			Bcen2424_0052	507	168	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	53785	55158	-							Bcen2424_0053	1374		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	53785	55158	-	ABK06807.1			general secretion pathway protein L			Bcen2424_0053	1374	457	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	55185	56294	-							Bcen2424_0054	1110		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	55185	56294	-	ABK06808.1			General secretion pathway protein K			Bcen2424_0054	1110	369	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	56297	56995	-							Bcen2424_0055	699		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	56297	56995	-	ABK06809.1			general secretion pathway protein			Bcen2424_0055	699	232	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	56973	57374	-							Bcen2424_0056	402		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	56973	57374	-	ABK06810.1			general secretion pathway protein I			Bcen2424_0056	402	133	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	57377	57946	-							Bcen2424_0057	570		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	57377	57946	-	ABK06811.1			general secretion pathway protein H			Bcen2424_0057	570	189	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	57986	58438	-							Bcen2424_0058	453		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	57986	58438	-	ABK06812.1			general secretion pathway protein G			Bcen2424_0058	453	150	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	58614	59024	+							Bcen2424_0059	411		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	58614	59024	+	ABK06813.1			conserved hypothetical protein			Bcen2424_0059	411	136	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	59062	60279	-							Bcen2424_0060	1218		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	59062	60279	-	ABK06814.1			general secretion pathway protein F			Bcen2424_0060	1218	405	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	60284	61783	-							Bcen2424_0061	1500		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	60284	61783	-	ABK06815.1			type II secretion system protein E (GspE)			Bcen2424_0061	1500	499	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	61780	64104	-							Bcen2424_0062	2325		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	61780	64104	-	ABK06816.1			general secretion pathway protein D			Bcen2424_0062	2325	774	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	64473	64967	+							Bcen2424_0063	495		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	64473	64967	+	ABK06817.1			Lytic transglycosylase, catalytic			Bcen2424_0063	495	164	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	65121	66434	+							Bcen2424_0064	1314		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	65121	66434	+	ABK06818.1			cobalamin synthesis protein, P47K			Bcen2424_0064	1314	437	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	66563	66841	-							Bcen2424_0065	279		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	66563	66841	-	ABK06819.1			histone family protein DNA-binding protein			Bcen2424_0065	279	92	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	67230	69161	+							Bcen2424_0066	1932		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	67230	69161	+	ABK06820.1			FAD dependent oxidoreductase			Bcen2424_0066	1932	643	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	69463	69789	+							Bcen2424_0067	327		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	69463	69789	+	ABK06821.1			conserved hypothetical protein			Bcen2424_0067	327	108	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	69833	71047	+							Bcen2424_0068	1215		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	69833	71047	+	ABK06822.1			transporter, CPA2 family			Bcen2424_0068	1215	404	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	71062	72177	+							Bcen2424_0069	1116		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	71062	72177	+	ABK06823.1			uncharacterized enzyme			Bcen2424_0069	1116	371	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	72682	73320	+							Bcen2424_0070	639		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	72682	73320	+	ABK06824.1			transcriptional regulator, MarR family			Bcen2424_0070	639	212	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	73349	74059	+							Bcen2424_0071	711		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	73349	74059	+	ABK06825.1			glutamine amidotransferase class-I			Bcen2424_0071	711	236	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	74288	75400	+							Bcen2424_0072	1113		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	74288	75400	+	ABK06826.1			NADH:flavin oxidoreductase/NADH oxidase			Bcen2424_0072	1113	370	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	75578	76108	+							Bcen2424_0073	531		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	75578	76108	+	ABK06827.1			nuclear protein SET			Bcen2424_0073	531	176	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	76270	77754	-							Bcen2424_0074	1485		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	76270	77754	-	ABK06828.1			periplasmic sensor signal transduction histidine kinase			Bcen2424_0074	1485	494	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	77876	78568	-							Bcen2424_0075	693		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	77876	78568	-	ABK06829.1			two component transcriptional regulator, winged helix family			Bcen2424_0075	693	230	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	78661	78921	+							Bcen2424_0076	261		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	78661	78921	+	ABK06830.1			conserved hypothetical protein			Bcen2424_0076	261	86	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	79021	79329	-							Bcen2424_0077	309		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	79021	79329	-	ABK06831.1			pterin-4-alpha-carbinolamine dehydratase			Bcen2424_0077	309	102	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	79461	80423	-							Bcen2424_0078	963		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	79461	80423	-	ABK06832.1			Phenylalanine 4-hydroxylase			Bcen2424_0078	963	320	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	80493	80978	+							Bcen2424_0079	486		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	80493	80978	+	ABK06833.1			transcriptional regulator, AsnC family			Bcen2424_0079	486	161	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	81045	81578	-							Bcen2424_0080	534		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	81045	81578	-	ABK06834.1			adenylate cyclase			Bcen2424_0080	534	177	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	81787	82725	-							Bcen2424_0081	939		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	81787	82725	-	ABK06835.1			transcriptional regulator, LysR family			Bcen2424_0081	939	312	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	82916	84652	+							Bcen2424_0082	1737		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	82916	84652	+	ABK06836.1			glucose-methanol-choline oxidoreductase			Bcen2424_0082	1737	578	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	85086	85865	+							Bcen2424_0083	780		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	85086	85865	+	ABK06837.1			amino acid/amide ABC transporter ATP-binding protein 1, HAAT family			Bcen2424_0083	780	259	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	85862	86617	+							Bcen2424_0084	756		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	85862	86617	+	ABK06838.1			amino acid/amide ABC transporter ATP-binding protein 2, HAAT family			Bcen2424_0084	756	251	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	86695	87894	+							Bcen2424_0085	1200		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	86695	87894	+	ABK06839.1			amino acid/amide ABC transporter substrate-binding protein, HAAT family			Bcen2424_0085	1200	399	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	87945	88907	+							Bcen2424_0086	963		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	87945	88907	+	ABK06840.1			amino acid/amide ABC transporter membrane protein 1, HAAT family			Bcen2424_0086	963	320	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	88907	89884	+							Bcen2424_0087	978		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	88907	89884	+	ABK06841.1			amino acid/amide ABC transporter membrane protein 2, HAAT family			Bcen2424_0087	978	325	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	89996	90295	+							Bcen2424_0088	300		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	89996	90295	+	ABK06842.1			hypothetical protein			Bcen2424_0088	300	99	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	90949	92106	+							Bcen2424_0089	1158		
